[400625000] ID:111 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007ba00dd0000059e071a0a820000031c05cb00000226066d0141
[400635000] ID:112 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007ee00d20000058107030a650000031c05c60000020c066f0137
[400645000] ID:113 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007a800e1000005a607130a7f0000031f05be000002280654012c
[400655000] ID:114 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007a600ea000005a507020a680000031e059e00000213062c016c
[400665000] ID:115 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000075400fd000005d0071c0a840000031b05920000022a061301de
[400675000] ID:116 | Stage:1 | Loc:0 | Lic:0 | Data:00000178000007030117000005f5072d0a9c0000031b059300000260060a0000
[400685000] ID:117 | Stage:1 | Loc:0 | Lic:0 | Data:0000024f000006e701140000060307240aa70000032505960000028405fd0000
[400695000] ID:118 | Stage:1 | Loc:0 | Lic:0 | Data:00000289000007360117000005d8070b0a860000032705950000025905fc0000
[400705000] ID:119 | Stage:1 | Loc:0 | Lic:0 | Data:00000296000007250117000005e107100a8d0000032705960000026305fc0000
[400715000] ID:120 | Stage:1 | Loc:0 | Lic:0 | Data:000002970000070d011c000005ee07180a990000032705970000026f05f80000
[400725000] ID:121 | Stage:1 | Loc:0 | Lic:0 | Data:00000296000006fd011f000005f7071d0aa10000032805980000027805f60000
[400735000] ID:122 | Stage:1 | Loc:0 | Lic:0 | Data:00000295000006fd012b000005f7071e0aa20000032a05950000027005e90000
[400745000] ID:123 | Stage:1 | Loc:0 | Lic:0 | Data:00000297000006f20149000005fd07280aa100000327058a0000025d05d00000
[400755000] ID:124 | Stage:1 | Loc:0 | Lic:0 | Data:00000298000006d6014c00000608071f0a9100000323056c0000025705b20000
[400765000] ID:125 | Stage:1 | Loc:0 | Lic:0 | Data:00000291000006df012e0000060107040a830000032905630000026405ad0000
[400775000] ID:126 | Stage:1 | Loc:0 | Lic:0 | Data:00000293000006d501490000060c072d0aac0000032805880000026e05cb0000
[400785000] ID:127 | Stage:1 | Loc:0 | Lic:0 | Data:000003560000065502a00000065008460aed000002c8058700a201a105df0000
[400815000] ID:128 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000003940096000006fe0797076f000000e101520000006b05d8026c
[400825000] ID:129 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000034600000000070b074106fd000000b600e6000000b6061b0216
[400835000] ID:130 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000333014f0000073906f7076e0000015e00c30000004f03c10208
[400845000] ID:131 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000035102a60000075d061608050000027800b40000004f00a90208
[400855000] ID:132 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000003e6044f0000075205dd08f101ad036801490000000d00000205
[400865000] ID:133 | Stage:1 | Loc:0 | Lic:0 | Data:00000000002c04aa056a00000723061e09d3025503f0023500000000000001f1
[400875000] ID:134 | Stage:1 | Loc:0 | Lic:0 | Data:00000000001a055c05aa000006e506360a4a021b043502e800000000000001d7
[400885000] ID:135 | Stage:1 | Loc:0 | Lic:0 | Data:00000000001105b105dc000006cb06770aa501a9044903690000000000000198
[400895000] ID:136 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000330627060c0000069d06c00ae70111044c03e4000000000000017e
[400905000] ID:137 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000067205e40000068706da0b3c007c046704670000002400000174
[400915000] ID:138 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000006b805800000066906b40b570017048204af000000750000017a
[400925000] ID:139 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000070b05980000064606bf0b680000048c04e10000005b00000171
[400935000] ID:140 | Stage:1 | Loc:0 | Lic:0 | Data:000000240000072106160000064006e20b780048049304e30000000a00000145
[400945000] ID:141 | Stage:1 | Loc:0 | Lic:0 | Data:00000031009606c206ee0000067007130b71014d048f0485000000000000013f
[400955000] ID:142 | Stage:1 | Loc:0 | Lic:0 | Data:0000001001090604076b000006c006f20b1c02b5048003b30000000000000184
[400965000] ID:143 | Stage:1 | Loc:0 | Lic:0 | Data:000000000123051607850000072406c20abf03cc046402db00000000000001c9
[400975000] ID:144 | Stage:1 | Loc:0 | Lic:0 | Data:00000000012504ab075c00000749067e0a68045a0453025100000000000001ca
[400985000] ID:145 | Stage:1 | Loc:0 | Lic:0 | Data:00000000016f04aa07ae0000074b06970a66049c0450024000000000000001d2
[400995000] ID:146 | Stage:1 | Loc:0 | Lic:0 | Data:0000000001b5048108050000075f06960a580534045502070000000000000209
