[397615000] ID:90 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe22fee3ffe4fc70fc91fc99
[397625000] ID:91 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000002c00dd01aefc99fcb9fcb1
[397635000] ID:92 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000012d01ee0297fca9fcc1fcc1
[397645000] ID:93 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000145020602a7fcc1fcd1fcd9
[397655000] ID:94 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155020e02affcd9fce9fcf1
[397665000] ID:95 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155020602b7fcd1fce1fce9
[397675000] ID:96 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155021602b7fcc9fcd9fce1
[397685000] ID:97 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155021602b7fcc1fcd1fcd9
[397695000] ID:98 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155021602b7fcc1fcd1fcd1
[397705000] ID:99 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000165021602a7fcb9fcc9fcc9
[397715000] ID:100 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000165021602a7fca9fcc9fcc1
[397725000] ID:101 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000016d021e02affca1fcc1fcc1
[397735000] ID:102 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000016d021e02affc91fcb1fcb9
[397745000] ID:103 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000175022602b7fc91fcb1fcb9
[397755000] ID:104 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000175022e02affc89fca9fcb1
[397765000] ID:105 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d023602b7fc81fca1fcb1
[397775000] ID:106 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d023602b7fc91fca9fcc1
