[2425555000] ID:95 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155020602b7fcd1fce1fce9
[2425565000] ID:96 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155021602b7fcc9fcd9fce1
[2425575000] ID:97 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155021602b7fcc1fcd1fcd9
[2425585000] ID:98 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155021602b7fcc1fcd1fcd1
[2425595000] ID:99 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000165021602a7fcb9fcc9fcc9
[2425605000] ID:100 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000165021602a7fca9fcc9fcc1
[2425615000] ID:101 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000016d021e02affca1fcc1fcc1
[2425625000] ID:102 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000016d021e02affc91fcb1fcb9
[2425635000] ID:103 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000175022602b7fc91fcb1fcb9
[2425645000] ID:104 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000175022e02affc89fca9fcb1
[2425655000] ID:105 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d023602b7fc81fca1fcb1
[2425665000] ID:106 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d023602b7fc91fca9fcc1
[2425675000] ID:107 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000186023e02b7fca1fcc1fcc9
[2425685000] ID:108 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e024602bffca1fcb9fcc1
[2425695000] ID:109 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001a6024e02b7fc91fca1fca9
[2425705000] ID:110 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001c6025e02c7fcb9fcc9fcc9
[2425715000] ID:111 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001ce026e02c7fcd9fce1fce1
[2425725000] ID:112 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001ce026e02c7fcf1fce9fce9
[2425735000] ID:113 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001b6026602c7fce1fcf9fcf9
[2425745000] ID:114 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000000000000000000000000000000001a6025602b7fcd9fd01fd19
[2425755000] ID:115 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024e02affd61fdb2fdd2
[2425765000] ID:116 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024e02af0024008d00b5
[2425775000] ID:117 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf015d01c601f6
[2425785000] ID:118 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf019e01f60236
[2425795000] ID:119 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf01b602160256
[2425805000] ID:120 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf01b60226026e
[2425815000] ID:121 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000019e024602bf01b6022e0276
[2425825000] ID:122 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e024602bf01b6022e0276
[2425835000] ID:123 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000186023e02b701b6022e0276
[2425845000] ID:124 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000175022e02a701b6022e0276
[2425855000] ID:125 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d023602af01ae0226026e
[2425865000] ID:126 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e023e02bf01b6023e0287
[2425875000] ID:127 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e022e02b701ce0256029f
[2425905000] ID:128 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000017d011dff13fc91fca1fca1
[2425915000] ID:129 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000014500edff33fc89fc99fc99
[2425925000] ID:130 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000005c008dffb4fc91fca1fca1
[2425935000] ID:131 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fea3000c007cfc91fca1fca1
[2425945000] ID:132 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdda000c0145fc99fca9fca9
[2425955000] ID:133 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe22006c01cefca9fcb9fcb9
[2425965000] ID:134 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe5200bd0226fcb9fcc9fcd1
[2425975000] ID:135 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe5201150236fcd9fce9fcf1
[2425985000] ID:136 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe8b0165026efcf1fcf9fd01
[2425995000] ID:137 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fee301a602a7fd09fd19fd21
[2426005000] ID:138 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff2301be02bffd29fd31fd39
[2426015000] ID:139 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff4301de02d7fd49fd49fd59
[2426025000] ID:140 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff0b01de02d7fd51fd49fd59
