[3241055000] ID:179 | Stg:6 | Loc:0 | Lic:0 | Data:0000006b00000000000000f40000000000000979000000000000041400000000
[3241065000] ID:180 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000093000000000000000000000636010c0000
[3241075000] ID:181 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000093000000000000000000000636010c0000
[3241085000] ID:182 | Stg:6 | Loc:0 | Lic:0 | Data:047200000000000202d10000011c00e900000000000000000000000002e80000
[3241095000] ID:183 | Stg:6 | Loc:0 | Lic:0 | Data:047200000000000202d10000011c00e900000000000000000000000002e80000
[3241105000] ID:184 | Stg:6 | Loc:0 | Lic:0 | Data:02bb00000000000003a700000000011300000000000000000000000003880000
[3241115000] ID:185 | Stg:6 | Loc:0 | Lic:0 | Data:02bb00000000000003a700000000011300000000000000000000000003880000
[3241125000] ID:186 | Stg:6 | Loc:0 | Lic:0 | Data:024f0000000000b501aa000000f0011700000000000000000000000003970000
[3241135000] ID:187 | Stg:6 | Loc:0 | Lic:0 | Data:024f0000000000b501aa000000f0011700000000000000000000000003970000
[3241145000] ID:188 | Stg:6 | Loc:0 | Lic:0 | Data:000001bf0000000001d8003e000000ab0000056b0000001500000142011d0000
[3241155000] ID:189 | Stg:6 | Loc:0 | Lic:0 | Data:000001bf0000000001d8003e000000ab0000056b0000001500000142011d0000
[3241165000] ID:190 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000f000000a000000000000000000000001501b30000
[3241175000] ID:191 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000f000000a000000000000000000000001501b30000
[3241205000] ID:192 | Stg:6 | Loc:0 | Lic:0 | Data:0000096300000000046d0b770000000000000daa0000000000000000000d0000
[3241215000] ID:193 | Stg:6 | Loc:0 | Lic:0 | Data:0000096300000000046d0b770000000000000daa0000000000000000000d0000
[3241225000] ID:194 | Stg:6 | Loc:0 | Lic:0 | Data:000004cc00000000000002c80000014500000f270000013f000009eb00000000
[3241235000] ID:195 | Stg:6 | Loc:0 | Lic:0 | Data:000004cc00000000000002c80000014500000f270000013f000009eb00000000
[3241245000] ID:196 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000361000004e6000001e100000be600000000
[3241255000] ID:197 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000361000004e6000001e100000be600000000
[3241265000] ID:198 | Stg:6 | Loc:0 | Lic:0 | Data:002a00000000000000000000012d018700000000000000000000003801dc0000
[3241275000] ID:199 | Stg:6 | Loc:0 | Lic:0 | Data:002a00000000000000000000012d018700000000000000000000003801dc0000
[3241285000] ID:200 | Stg:6 | Loc:0 | Lic:0 | Data:0184000000000000015b00000000015d000000000000000000000000023c0000
[3241295000] ID:201 | Stg:6 | Loc:0 | Lic:0 | Data:0184000000000000015b00000000015d000000000000000000000000023c0000
[3241305000] ID:202 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000010f0000000000ae000000000000000003540000
[3241315000] ID:203 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000010f0000000000ae000000000000000003540000
[3241325000] ID:204 | Stg:6 | Loc:0 | Lic:0 | Data:000000920000000001a300000000003f000005a6000000000000000001a30000
[3241335000] ID:205 | Stg:6 | Loc:0 | Lic:0 | Data:000000920000000001a300000000003f000005a6000000000000000001a30000
[3241345000] ID:206 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000019800000180000000000000000000000323019e0000
[3241355000] ID:207 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000019800000180000000000000000000000323019e0000
[3241385000] ID:208 | Stg:6 | Loc:0 | Lic:0 | Data:0000096300000000046d0b770000000000000daa0000000000000000000d0000
[3241395000] ID:209 | Stg:6 | Loc:0 | Lic:0 | Data:0000096300000000046d0b770000000000000daa0000000000000000000d0000
[3241405000] ID:210 | Stg:6 | Loc:0 | Lic:0 | Data:000004cc00000000000002c80000014500000f270000013f000009eb00000000
[3241415000] ID:211 | Stg:6 | Loc:0 | Lic:0 | Data:000004cc00000000000002c80000014500000f270000013f000009eb00000000
[3241425000] ID:212 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000361000004e6000001e100000be600000000
[3241435000] ID:213 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000361000004e6000001e100000be600000000
[3241445000] ID:214 | Stg:6 | Loc:0 | Lic:0 | Data:002a00000000000000000000012d018700000000000000000000003801dc0000
[3241455000] ID:215 | Stg:6 | Loc:0 | Lic:0 | Data:002a00000000000000000000012d018700000000000000000000003801dc0000
[3241465000] ID:216 | Stg:6 | Loc:0 | Lic:0 | Data:0184000000000000015b00000000015d000000000000000000000000023c0000
[3241475000] ID:217 | Stg:6 | Loc:0 | Lic:0 | Data:0184000000000000015b00000000015d000000000000000000000000023c0000
[3241485000] ID:218 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000010f0000000000ae000000000000000003540000
[3241495000] ID:219 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000010f0000000000ae000000000000000003540000
[3241505000] ID:220 | Stg:6 | Loc:0 | Lic:0 | Data:000000920000000001a300000000003f000005a6000000000000000001a30000
[3241515000] ID:221 | Stg:6 | Loc:0 | Lic:0 | Data:000000920000000001a300000000003f000005a6000000000000000001a30000
[3241525000] ID:222 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000019800000180000000000000000000000323019e0000
[3241535000] ID:223 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000019800000180000000000000000000000323019e0000
[3241565000] ID:224 | Stg:6 | Loc:0 | Lic:0 | Data:0000095c00000000064c0b780000033b00000e0a000000000000000000820000
