[2428365000] ID:94 | Stg:1 | Loc:0 | Lic:0 | Data:0000000c00000735015c000005dc06e00a5b000003390538000001ef053900ec
[2428375000] ID:95 | Stg:1 | Loc:0 | Lic:0 | Data:000000060000073f012c000005d606b70a500000034605340000020f053300f8
[2428385000] ID:96 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000745014b000005d506d60a5f0000033f0544000001fc05440107
[2428395000] ID:97 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000748014c000005d406d60a5e000003400544000001f905430115
[2428405000] ID:98 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000073c014c000005da06d90a640000034105450000020105410111
[2428415000] ID:99 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000074d012b000005ce06cb0a4f00000339053f00000202055b0115
[2428425000] ID:100 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007190127000005ea06e20a6900000335054600000222056b0121
[2428435000] ID:101 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007320123000005dd06de0a6200000335054b000002180575012c
[2428445000] ID:102 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000073a0116000005d906d80a5f00000335054d0000021d057e0148
[2428455000] ID:103 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007440121000005d506e30a660000033505590000021605880142
[2428465000] ID:104 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007460122000005d406f00a6a0000032f056100000214059e0142
[2428475000] ID:105 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007540131000005cf06fd0a700000032d056c0000020805a80150
[2428485000] ID:106 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007820121000005b606e90a5b0000032e056c000001f905b2014c
[2428495000] ID:107 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007550126000005cf07050a760000032a05780000021205c20131
[2428505000] ID:108 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000768011b000005c507070a780000032805860000021405dd0138
[2428515000] ID:109 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000079200f8000005ae06fc0a6600000323058e0000020f06060179
[2428525000] ID:110 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000079100dc000005b107090a800000032305b100000235063c0156
[2428535000] ID:111 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007b500dd000005a1071d0a870000031c05ce0000022a066f0142
[2428545000] ID:112 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007e700d40000058507060a6a0000031d05c800000210066f0136
[2428555000] ID:113 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007a200e1000005a907150a830000032005bf0000022d0653012d
[2428565000] ID:114 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007a400ec000005a607040a6b0000031f05a100000213062c016d
[2428575000] ID:115 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000074d00fd000005d4071d0a880000031c05930000022f061201dd
[2428585000] ID:116 | Stg:1 | Loc:0 | Lic:0 | Data:00000175000006fb0115000005f9072f0a9f0000031c059400000266060b0000
[2428595000] ID:117 | Stg:1 | Loc:0 | Lic:0 | Data:0000024e000006e201140000060507250aaa0000032505970000028805fd0000
[2428605000] ID:118 | Stg:1 | Loc:0 | Lic:0 | Data:00000289000007360117000005d8070b0a860000032705950000025905fc0000
[2428615000] ID:119 | Stg:1 | Loc:0 | Lic:0 | Data:00000295000007200117000005e407110a8f0000032705970000026605fc0000
[2428625000] ID:120 | Stg:1 | Loc:0 | Lic:0 | Data:000002950000070a011c000005f007190a9b0000032705970000027105f80000
[2428635000] ID:121 | Stg:1 | Loc:0 | Lic:0 | Data:00000296000006fd011f000005f7071d0aa10000032805980000027805f60000
[2428645000] ID:122 | Stg:1 | Loc:0 | Lic:0 | Data:00000294000006f9012b000005fa07210aa50000032905970000027305eb0000
[2428655000] ID:123 | Stg:1 | Loc:0 | Lic:0 | Data:00000293000006eb01470000060107290aa400000327058b0000026305d20000
[2428665000] ID:124 | Stg:1 | Loc:0 | Lic:0 | Data:00000296000006d3014f0000060a07230a9400000323056d0000025805b30000
[2428675000] ID:125 | Stg:1 | Loc:0 | Lic:0 | Data:0000028e000006d9012e0000060507070a880000032905660000026905af0000
[2428685000] ID:126 | Stg:1 | Loc:0 | Lic:0 | Data:00000291000006d201490000060e072f0aaf00000329058b0000027105cd0000
[2428695000] ID:127 | Stg:1 | Loc:0 | Lic:0 | Data:000003550000065102a00000065208490af0000002c7058800a301a305e20000
[2428725000] ID:128 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000003920099000006ff079a0773000000e101540000006d05d9026d
[2428735000] ID:129 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000033f00000000070f07450703000000b600e9000000ba061b0216
[2428745000] ID:130 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000032f014f0000073c06f907700000015e00c40000005203c10209
[2428755000] ID:131 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000035202a80000075d061808070000027900b70000004e00a90208
[2428765000] ID:132 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000003de04520000075605e108f701ad0369014b0000001100000205
[2428775000] ID:133 | Stg:1 | Loc:0 | Lic:0 | Data:00000000002704a3056a00000727062209d7025203f0023600000000000001f0
[2428785000] ID:134 | Stg:1 | Loc:0 | Lic:0 | Data:000000000015055505a9000006e906380a4e021b043502e900000000000001d8
[2428795000] ID:135 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000805aa05d9000006cf06780aa901a8044a036a0000000000000197
[2428805000] ID:136 | Stg:1 | Loc:0 | Lic:0 | Data:00000000002b0620060a000006a106c10aea0110044c03e5000000000000017d
[2428815000] ID:137 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000066e05e40000068906dd0b3f0078046704680000002700000173
[2428825000] ID:138 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000006b405800000066c06b40b5a0018048304b00000007800000179
[2428835000] ID:139 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000704059a0000064906c30b6c0000048b04e30000005e00000172
[2428845000] ID:140 | Stg:1 | Loc:0 | Lic:0 | Data:0000001f0000071606160000064606e60b7d0048049304e30000001100000145
[2428855000] ID:141 | Stg:1 | Loc:0 | Lic:0 | Data:0000002e009006ba06ee0000067407170b76014a048e0487000000000000013e
