[1230635000] ID:119 | Stg:6 | Loc:0 | Lic:0 | Data:02a800000000fff6ffddfff50006ff840000ffaf000000050000001800840000
[1230645000] ID:120 | Stg:6 | Loc:0 | Lic:0 | Data:fff500000000ffc8ff750011000bff61000000c80000fffe0000ffdb00e60000
[1230655000] ID:121 | Stg:6 | Loc:0 | Lic:0 | Data:fd2e00000000ffc6ffc80000000fff5d00000070000000170000ff9100fa0000
[1230665000] ID:122 | Stg:6 | Loc:0 | Lic:0 | Data:ffe100000000ffa300300000001fff7b0000ff690000001e0000ffdb00920000
[1230675000] ID:123 | Stg:6 | Loc:0 | Lic:0 | Data:0000fff80000ffb8fff500000011ffa700000086000000000000004800f60000
[1230685000] ID:124 | Stg:6 | Loc:0 | Lic:0 | Data:0000005400000009fff40000fffcffb70000ff650000ffff0000ffcc00680000
[1230695000] ID:125 | Stg:6 | Loc:0 | Lic:0 | Data:0000002700000000fff700000000ffee0000ff3200000000000000a7005e0000
[1230705000] ID:126 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffcb00000000fffc00000000ffff0000029c000000000000fe9100740000
[1230715000] ID:127 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000080000fffe000000000000fc1000840000
[1230745000] ID:128 | Stg:6 | Loc:0 | Lic:0 | Data:0000036b00000000fec10004000000000000fa130000000000000000ffd3fe3f
[1230755000] ID:129 | Stg:6 | Loc:0 | Lic:0 | Data:0000027300000000ff9efebc000000000000000b00000000000001c1ffd3fe64
[1230765000] ID:130 | Stg:6 | Loc:0 | Lic:0 | Data:0000fec700000000007e0249000000000000036c000000000000fed4ffc8ff24
[1230775000] ID:131 | Stg:6 | Loc:0 | Lic:0 | Data:0000009700000000000000260000fff70000febd000000000000fd8d00020000
[1230785000] ID:132 | Stg:6 | Loc:0 | Lic:0 | Data:00000003000000000000001c0000ffe700000504000000000000fd64012c0000
[1230795000] ID:133 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000ffb000050000ffd800000016000000000000fb7400d60000
[1230805000] ID:134 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000ff4e000d0000ffd10000ffe9000000000000fe8c01960000
[1230815000] ID:135 | Stg:6 | Loc:0 | Lic:0 | Data:04f000000000ffdbff76ffff0002ffbd0000000b000000530000ffef01860000
[1230825000] ID:136 | Stg:6 | Loc:0 | Lic:0 | Data:fff600000000ff97ff1800010004ffa30000ffe5000000550000fffa027c0000
[1230835000] ID:137 | Stg:6 | Loc:0 | Lic:0 | Data:fab400000000ff79ff610000002eff9e0000001c000000300000000a028a0000
[1230845000] ID:138 | Stg:6 | Loc:0 | Lic:0 | Data:ffae00000000ff44ffc400000050ffb40000003f0000002f0000fffd024a0000
[1230855000] ID:139 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffac0000ff83ff810000fffaff9f0000016e000000000000ffe102360000
[1230865000] ID:140 | Stg:6 | Loc:0 | Lic:0 | Data:000000ba0000fffcff720000ffd5ff930000fd1d000000000000fff700bd0000
[1230875000] ID:141 | Stg:6 | Loc:0 | Lic:0 | Data:0000006300000000ffd200000000ffa40000ff0700000000000000cf00bc0000
[1230885000] ID:142 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff5500000000003d00000000ffb800000309000000000000ff0e00920000
[1230895000] ID:143 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000ffe20000ffff000000000000fd52009d0000
[1230925000] ID:144 | Stg:6 | Loc:0 | Lic:0 | Data:000004c500000000fe94ffe8000000000000fa5f00000000000000000002fe51
[1230935000] ID:145 | Stg:6 | Loc:0 | Lic:0 | Data:000003e300000000ff77fea3000000000000002700000000000001620000fe68
[1230945000] ID:146 | Stg:6 | Loc:0 | Lic:0 | Data:0000fed300000000009b029e00000000000002e5000000000000fec1fffdff33
[1230955000] ID:147 | Stg:6 | Loc:0 | Lic:0 | Data:00000032000000000000ffee000000000000fe86000000000000fd5bffd00000
[1230965000] ID:148 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffe900000000000000230000fffe000004ce000000000000fd2f00da0000
[1230975000] ID:149 | Stg:6 | Loc:0 | Lic:0 | Data:02df00000000ffffffd100000022000d00000000000000000000fba500180000
[1230985000] ID:150 | Stg:6 | Loc:0 | Lic:0 | Data:fff400000000ffffff160000004d000c00000000000000000000fe7201090000
[1230995000] ID:151 | Stg:6 | Loc:0 | Lic:0 | Data:ffb300000000ffd0ff63000000220011000000000000007a0000000000930000
[1231005000] ID:152 | Stg:6 | Loc:0 | Lic:0 | Data:ffdd00000000ffbbff0d0000fff8000b00000000000000b20000000001650000
[1231015000] ID:153 | Stg:6 | Loc:0 | Lic:0 | Data:fe9700000000ff7bff5500000046000e00000000000000430000000000f00000
[1231025000] ID:154 | Stg:6 | Loc:0 | Lic:0 | Data:ffd400000000ff3effb80000008a0012000000000000000c0000000000cb0000
[1231035000] ID:155 | Stg:6 | Loc:0 | Lic:0 | Data:fe6affd00000ff92ff8100070012ffcc00000182000000010000fff7013c0000
[1231045000] ID:156 | Stg:6 | Loc:0 | Lic:0 | Data:ffee018a0000ffe5ff66fff9ffceff7d0000fd80000000010000fff0ffa00000
[1231055000] ID:157 | Stg:6 | Loc:0 | Lic:0 | Data:0000014200000000ffa5fffd0000ff3e0000ff0400000002000000f100490000
[1231065000] ID:158 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff8800000000006e00070000ff5900000306000000020000ff3d004c0000
[1231075000] ID:159 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000fffe0000ffa200000000000000000000fd66009f0000
[1231105000] ID:160 | Stg:6 | Loc:0 | Lic:0 | Data:0000049d00000000fda2000e000000000000fa180000000000000000fffefe73
[1231115000] ID:161 | Stg:6 | Loc:0 | Lic:0 | Data:000003c600000000ff46fead000000000000005e0000000000000110fffefe8b
[1231125000] ID:162 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff090000000000ef032b0000000000000258000000000000fee2fffeff44
[1231135000] ID:163 | Stg:6 | Loc:0 | Lic:0 | Data:00000037000000000000ffd20000ffe60000fe32000000000000fe80ffac0000
[1231145000] ID:164 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffe000000000000000510000ffd6000005a2000000000000fd26006d0000
[1231155000] ID:165 | Stg:6 | Loc:0 | Lic:0 | Data:055800000000ffffff7200000059ffc100000000000000000000faa1ffe10000
[1231165000] ID:166 | Stg:6 | Loc:0 | Lic:0 | Data:fff500000000fffefe42000000a4ffb800000000000000000000fe2801250000
[1231175000] ID:167 | Stg:6 | Loc:0 | Lic:0 | Data:fc4100000000ffeafeca0000fff5ffaa000000000000002d0000000000760000
[1231185000] ID:168 | Stg:6 | Loc:0 | Lic:0 | Data:ffa700000000ffecfe620000ffaaffa2000000000000005c0000000000ed0000
[1231195000] ID:169 | Stg:6 | Loc:0 | Lic:0 | Data:00b400000000ffaeff0800000059ff9f000000000000002a00000000009d0000
[1231205000] ID:170 | Stg:6 | Loc:0 | Lic:0 | Data:ffe500000000ff6dffce000000a8ffa1000000000000fffb0000000000a40000
[1231215000] ID:171 | Stg:6 | Loc:0 | Lic:0 | Data:fd06ffd50000ffaaff57001d0002ff990000018f000000060000008500ff0000
[1231225000] ID:172 | Stg:6 | Loc:0 | Lic:0 | Data:ffd201830000ffebff3dfffdffb3ff6a0000fd5d000000070000ffb5ff470000
[1231235000] ID:173 | Stg:6 | Loc:0 | Lic:0 | Data:0000013e00000000ff98fffb0000ff530000fef6000000040000fe7200220000
[1231245000] ID:174 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff9000000000008400140000ff6700000329000000030000ff8200830000
[1231255000] ID:175 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000fffd0000ffa400000000000000000000002a00b70000
[1231285000] ID:176 | Stg:6 | Loc:0 | Lic:0 | Data:0000050800000000fd5a0006000000000000f9f200000000000000000002ff5f
[1231295000] ID:177 | Stg:6 | Loc:0 | Lic:0 | Data:000003b600000000ff0bfece00000001000000e500000006000001010003ff59
[1231305000] ID:178 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff5400000000012f036c0000fffd000002030000fffe0000fea00000ffb4
[1231315000] ID:179 | Stg:6 | Loc:0 | Lic:0 | Data:000000a4000000000000ffaf0000fff40000fe8d000000240000fdcfffee0000
[1231325000] ID:180 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff68000000000000009b0000ffbe00000607000000200000fca3006a0000
[1231335000] ID:181 | Stg:6 | Loc:0 | Lic:0 | Data:012b00000000ffffffa700000077ffab0000fff2000000280000fa62ffce0000
[1231345000] ID:182 | Stg:6 | Loc:0 | Lic:0 | Data:000600000000fffffe18000000e5ff9500000111000000340000fded011a0000
[1231355000] ID:183 | Stg:6 | Loc:0 | Lic:0 | Data:006800000000fffffee70000000fff3e00000000000000000000fffc00740000
[1231365000] ID:184 | Stg:6 | Loc:0 | Lic:0 | Data:ffec00000000fffffe6c0000ffa2ff3100000000000000000000fffe00d50000
[1231375000] ID:185 | Stg:6 | Loc:0 | Lic:0 | Data:fed400000000ffd2fef000000067ff1d0000000f0000000000000000008c0000
[1231385000] ID:186 | Stg:6 | Loc:0 | Lic:0 | Data:ffec00000000ffbd000e000000c6ff200000ffe7000000000000000000d50000
[1231395000] ID:187 | Stg:6 | Loc:0 | Lic:0 | Data:ff6cffd80000ffd9ff61001c000fff1c00000195000000090000006301200000
[1231405000] ID:188 | Stg:6 | Loc:0 | Lic:0 | Data:fff601400000ffeeff420008ffb0ff3e0000fd830000000d0000ffb9ff950000
[1231415000] ID:189 | Stg:6 | Loc:0 | Lic:0 | Data:0000011600000000ff8b002e0000ff6a0000fef5000000050000fef200570000
[1231425000] ID:190 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffae000000000096ffe40000ff6a00000330000000000000ff7f009b0000
[1231435000] ID:191 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000ffe10000ffbc00000000000000000000ffc100a20000
[1231465000] ID:192 | Stg:6 | Loc:0 | Lic:0 | Data:000005f000000000fd000026000000000000f9470000000000000000000affce
[1231475000] ID:193 | Stg:6 | Loc:0 | Lic:0 | Data:0000038e00000000fef9ff340000ffc60000019f0000005e000003920008ffca
[1231485000] ID:194 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff3800000000014f03f10000ffa50000002b000000600000fd91ffffffed
[1231495000] ID:195 | Stg:6 | Loc:0 | Lic:0 | Data:00000130000000000000ff790000ff260000fe69000000c60000fb3effb60000
[1231505000] ID:196 | Stg:6 | Loc:0 | Lic:0 | Data:0000fe5600000000000000f20000fecb0000065e000000c70000fa2bffc00000
